Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Casino du Sud,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-21.343435,55.473465,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2020-02-07,Casino du Sud#+33 2 62 25 26 96##http://www.progcasinodusud.com/,,,https://data.datatourisme.fr/54/18461147-32f1-3785-9b18-cec95c9ba7d8
Bel Ombre (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-20.935,55.665,"1306, chemin Bel Ombre - Cambuston",97440#Saint-André,,,,,Soubik,ADT Réunion,2022-04-07,Bel Ombre (Le)#+33 6 92 66 07 09#j-db@hotmail.fr#http://www.villa-belombre.fr/,3 Clés#Clévacances,,https://data.datatourisme.fr/54/930d8e0a-ede6-3bd1-9d66-0f0686131547
A l'Ombre du Ravenale,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.28054,55.479004,49 rue Henri Bénard,97432#Saint-Pierre,,,,,Soubik,ADT Réunion,2022-12-14,A l'Ombre du Ravenale#+33 2 62 59 32 84#ombre.ravenale@gmail.com#https://a-lombre-du-ravenale.business.site/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/9361ba14-47d4-384c-9481-a35df1b39a60
Gîte Le Verval,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2019-10-10,Gîte Le Verval#+33 2 62 26 13 75#giteleverval@gmail.com#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/95af15af-2ced-3799-b2f7-58256d8539bd
Gîte Le Verval n°9,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2023-02-15,Gîte Le Verval n°9#+33 2 62 26 13 75#giteleverval@gmail.com#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/97610e37-c977-3892-b324-8dc5c7c39e50
Gîte Le Verval n°8,http://schema.org/LodgingBusiness|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2023-02-15,Gîte Le Verval n°8#+33 2 62 26 13 75#giteleverval@gmail.com#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/24d2f16a-38a0-3db9-9957-0652e00727ba
Gîte Le Verval n°5,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2023-02-15,Gîte Le Verval n°5#+33 2 62 26 13 75#giteleverval@gmail.com#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/eedf5f56-cf97-36b5-9915-4279a806d759
Gîte Le Verval n°6,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2023-02-15,Gîte Le Verval n°6#+33 2 62 26 13 75#ropayet@wanadoo.fr#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/86a71239-b7a5-3907-a7d8-5b81716235f8
Gîte Le Verval n°12,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.27291955,55.45116185,"72, rue Verval",97421#Saint-Louis,,,,,Soubik,ADT Réunion,2023-02-15,Gîte Le Verval n°12#+33 2 62 26 13 75#giteleverval@gmail.com#http://www.giteleverval.fr/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/6deea220-f2f5-36c5-ad88-bbf535a610ba
Alizé Plage,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.34417921,55.47179973,"17 bis, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Alizé Plage#+33 2 62 35 22 21#alizeplage@ilereunion.com#http://www.alizeplage.fr/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/974ef3b9-eb57-3919-805b-5cc7c4d61bcc
Alizé Plage,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.34417921,55.47179973,"17 bis, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Alizé Plage#+33 2 62 35 22 21#alizeplage@ilereunion.com#http://www.ilereunion.com/alizeplage.htm,,,https://data.datatourisme.fr/54/03ab2d21-a9b5-304c-a254-771e6f4a76d9
Lavula'O,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.23425,55.484535,10 C chemin Trou de Terre,97414#Entre-Deux,,,,,Soubik,ADT Réunion,2022-04-20,Lavula'O#+33 6 92 01 44 07#chauvin_catherine@yahoo.fr#,1 étoile#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/08ffca34-c510-3129-9f8f-80d76d43cb8a
Scalaires (Les) F3,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.098869,55.243277,16 rue Scalaires,97434#Saint-Paul,,,,,Soubik,ADT Réunion,2020-07-01,Scalaires (Les) F3#+33 6 92 60 26 03#alainboissady@gmail.com#http://www.runvacances.fr/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/011d84ef-67e6-3d84-8ea4-7c0bbff15667
Scalaires (Les) F2,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.098869,55.243277,16 rue Scalaires,97434#Saint-Paul,,,,,Soubik,ADT Réunion,2022-10-26,Scalaires (Les) F2#+33 6 92 60 26 03#alainboissady@gmail.com#http://www.runvacances.fr/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/c5b96ee5-5a62-3661-a691-a14b3e1952e7
Claire Fontaine (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.06332,55.22902,26 rue Capella - Appt EOz,97434#Saint-Paul,,,,,Soubik,ADT Réunion,2020-11-10,Claire Fontaine (Le)#+33 6 60 17 97 93#pascal.resa@orange.fr#,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/0918ca0b-8721-378f-a5c7-ee0f5198d1f7
Ti Kaz l'Endormi,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.375278,55.650278,"106, rue de la Passerelle",97480#Saint-Joseph,,,,,Soubik,ADT Réunion,2021-10-29,Ti Kaz l'Endormi#+33 6 93 99 13 35#tikazlendormi@orange.fr#,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/099e0127-bffb-3c64-9350-1311876ff503
Terrasses de Niagara (Les) - Le Tec Tec,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.917,55.606,"12, chemin Marencourt",97441#Sainte-Suzanne,,,,,Soubik,ADT Réunion,2019-11-04,Terrasses de Niagara (Les) - Le Tec Tec#+33 2 62 30 98 10#christelle.ferrand974@gmail.com#http://www.terrasses-niagara.com/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/34a29d7e-245d-398d-9621-b139e201a63e
Terrasses de Niagara (Les) - Le Cardinal,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.917,55.606,"12, chemin Marencourt",97441#Sainte-Suzanne,,,,,Soubik,ADT Réunion,2019-11-04,Terrasses de Niagara (Les) - Le Cardinal#+33 2 62 30 98 10#christelle.ferrand974@gmail.com#http://www.terrasses-niagara.com/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/0819d81b-fb7b-3418-a64d-55105711b779
Gîte Cannelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.992,55.33,"16, impasse de la Paix",97411#Saint-Paul,,,,,Soubik,ADT Réunion,2022-02-03,Gîte Cannelle#+33 6 92 36 31 35#marienefles974@hotmail.fr#,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/360f30ca-84c4-3c5c-88b1-1056f7fd72fd
Villas Manapany,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.375556,55.590556,"9 C, allée du Four à Chaux - Manapany-les-Bains",97480#Saint-Joseph,,,,,Soubik,ADT Réunion,2020-02-26,Villas Manapany#+33 6 93 13 79 78#villasmanapany@gmail.com#http://www.villasmanapany.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/374539d7-0520-3067-9d83-bcba04cbb95b
Cana Suc,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.129164,55.79885,"219, Route Nationale 2 les Bambous",97439#Sainte-Rose,,,,,Soubik,ADT Réunion,2021-09-30,Cana Suc#+33 2 62 47 23 52#noulela@canasuc.re#http://www.canasuc.re/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/383726c1-1c8a-3e91-ab9f-e2f553e5655e
Cana Suc n°188,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.129331,55.798808,"219, Route Nationale 2 les Bambous",97439#Sainte-Rose,,,,,Soubik,ADT Réunion,2021-09-30,Cana Suc n°188#+33 2 62 47 23 52#noulela@canasuc.re#http://www.canasuc.re/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/790f36ce-c655-3b6b-a6a8-541aa111c85a
Cana Suc n°187,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.129331,55.798808,"219, Route Nationale 2 les Bambous",97439#Sainte-Rose,,,,,Soubik,ADT Réunion,2021-09-30,Cana Suc n°187#+33 2 62 47 23 52#noulela@canasuc.re#http://www.canasuc.re/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/e099273b-5b73-3c06-9e09-7a009cce56b0
Jean Robert (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.034694,55.468661,"10, chemin Bord Fontaine - Grand-Ilet",97433#Salazie,,,,,Soubik,ADT Réunion,2023-01-26,Jean Robert (Le)#+33 2 62 97 51 74#gilette.robert@live.fr#,2 épis#Gîtes de France,,https://data.datatourisme.fr/54/3ae903d1-a5c4-33a2-9491-c09d5a1c6ff5
Grand Pavois (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.22428135,55.34502577,"277, route des Vacoas",97425#Les Avirons,,,,,Soubik,ADT Réunion,2021-01-27,Grand Pavois (Le)#+33 2 62 57 26 20#grandpavois@wanadoo.fr#,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/3dc9e786-1bc6-3ad0-bcf1-45f1e048b6e6
Grand Pavois (Le) - Bois de Senteur,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.22428135,55.34502577,"277, route des Vacoas",97425#Les Avirons,,,,,Soubik,ADT Réunion,2019-12-03,Grand Pavois (Le) - Bois de Senteur#+33 2 62 57 26 20#grandpavois@wanadoo.fr#,2 Clés#Clévacances,,https://data.datatourisme.fr/54/63fdd494-1ee8-33ad-a14c-9f3752737d9e
Grand Pavois (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.22428135,55.34502577,"277, route des Vacoas",97425#Les Avirons,,,,,Soubik,ADT Réunion,2021-01-27,Grand Pavois (Le)#+33 2 62 57 26 20#grandpavois@wanadoo.fr#,3 Clés#Clévacances,,https://data.datatourisme.fr/54/1a9ceb9a-d595-32ed-8de6-289a6222f48e
Arbre du Voyageur (L'),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.256655,55.46543,"99, CD.26",97414#Entre-Deux,,,,,Soubik,ADT Réunion,2020-04-16,Arbre du Voyageur (L')#+33 6 92 61 79 81#contact@arbreduvoyageur.re#http://www.arbreduvoyageur.re/,4 Clés#Clévacances,,https://data.datatourisme.fr/54/3eaffb8b-d3c3-3755-9025-60c132bdad58
Edemya Fleur de Sel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.249167,55.3225,"23, chemin de la Pointe - Bois-Blanc",97425#Les Avirons,,,,,Soubik,ADT Réunion,2020-03-02,Edemya Fleur de Sel#+33 6 93 13 60 59#locationEdemya@gmail.com#http://www.edemya.com/,2 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/3ee91ffc-cdaf-3170-9159-8f305c98dc8f
Fleur de Vanille,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.25154364,55.5200977,"227 C, route Georges Pompidou - PK 14",97430#Le Tampon,,,,,Soubik,ADT Réunion,2023-01-26,Fleur de Vanille#+33 2 62 59 17 43#fleur-de-vanille@wanadoo.fr#https://www.aubergefleurdevanille.com/,4 épis / Premium#Gîtes de France,,https://data.datatourisme.fr/54/40c0d969-584e-302a-8160-238c69b9cd62
Fleur de Vanille,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#FarmhouseInn|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.25154364,55.5200977,"227 C, route Georges Pompidou - PK 14",97430#Le Tampon,,,,,Soubik,ADT Réunion,2020-06-12,Fleur de Vanille#+33 2 62 59 17 43#fleur-de-vanille@wanadoo.fr#,,,https://data.datatourisme.fr/54/595790c8-a74c-3a9f-8c84-edeb20021857
